ID,age,sex
2352,33.0,M
2353,64.0,F
2354,27.0,F
2355,63.0,F
2356,38.0,F
2357,65.0,M
2358,64.0,M
2360,57.0,F
2363,47.0,F
2364,52.0,M
2365,50.0,M
2368,35.0,F
2369,48.0,F
2370,35.0,M
2371,45.0,M
2372,38.0,M
2373,35.0,M
2374,64.0,F
2375,57.0,M
2377,38.0,F
2379,42.0,F
2380,49.0,M
933,48.0,F
2383,41.0,M
2384,52.0,F
2385,69.0,M
2386,61.0,F
2387,39.0,F
2389,55.0,F
2391,43.0,M
2393,65.0,M
2395,49.0,F
2396,51.0,M
2398,53.0,M
2399,35.0,M
2400,30.0,M
2401,25.0,M
2411,42.0,M
2412,40.0,M
2413,46.0,M
2416,38.0,M
2418,49.0,M
2419,64.0,M
2420,40.0,F
2421,32.0,M
2423,70.0,M
2425,54.0,M
2426,63.0,F
2427,37.0,F
2429,46.0,F
2430,39.0,F
2433,34.0,F
2434,73.0,M
2435,47.0,F
2436,59.0,M
2437,35.0,M
2438,55.0,M
2440,42.0,M
2441,52.0,M
2443,32.0,F
2446,43.0,M
2447,37.0,F
2448,38.0,F
2449,39.0,M
2450,43.0,F
2451,28.0,F
2452,35.0,M
2454,50.0,M
2455,40.0,F
2458,43.0,M
2459,48.0,M
2462,44.0,M
2463,37.0,F
2464,50.0,M
2465,67.0,F
2466,67.0,M
2467,65.0,M
2469,20.0,M
2471,38.0,F
2473,20.0,M
1321,50.0,M
2476,34.0,F
2478,55.0,F
2479,35.0,M
2480,39.0,M
2481,43.0,F
2483,43.0,M
2484,45.0,F
2485,37.0,F
2487,33.0,M
2488,52.0,M
2489,43.0,M
2490,36.0,M
2491,35.0,F
2492,48.0,F
2494,52.0,F
2495,48.0,F
2496,35.0,F
2497,41.0,M
2498,17.0,M
2499,29.0,F
2500,55.0,M
2503,30.0,M
2504,37.0,M
2505,33.0,M
2506,29.0,M
2507,49.0,M
2510,61.0,M
2511,35.0,M
2512,58.0,M
2514,48.0,F
2515,38.0,F
2517,44.0,M
2519,23.0,F
2520,39.0,F
2522,63.0,M
2523,50.0,M
2524,32.0,M
2525,38.0,F
2526,66.0,F
2529,37.0,M
2530,45.0,M
2531,63.0,F
2532,43.0,M
2533,47.0,F
2534,55.0,M
2535,45.0,F
2536,75.0,M
2537,49.0,M
2538,65.0,M
2539,55.0,F
2540,59.0,M
2542,41.0,M
2543,37.0,F
2544,37.0,M
2545,57.0,M
2546,46.0,F
2549,47.0,M
2550,63.0,F
2551,38.0,M
2552,37.0,M
2555,44.0,F
2559,50.0,F
2560,66.0,M
2561,38.0,M
2566,45.0,F
2568,69.0,F
2570,44.0,M
2573,43.0,M
2576,45.0,M
2577,64.0,M
2578,50.0,F
2579,26.0,M
2580,34.0,M
2581,73.0,F
2582,55.0,F
2583,38.0,F
2585,56.0,M
2586,61.0,F
2587,42.0,M
2588,45.0,M
2589,73.0,F
2590,40.0,F
2592,74.0,M
2593,42.0,F
2594,47.0,F
2595,39.0,M
2596,30.0,F
2597,49.0,M
2598,53.0,M
2600,28.0,M
2601,28.0,F
2602,33.0,F
2604,47.0,M
2605,66.0,F
2606,36.0,M
2609,59.0,M
2615,43.0,M
2617,45.0,M
2619,44.0,F
2620,35.0,F
